audit_rank,source_index,label,horizon_steps,input_count,unique_candidates,input_array_sha256
44,3505,9,200,6533,7743,63ef12641b15a283075d71ebac79ce68e010a481de4addcd5784ba65d78121db
45,4757,13,111,5503,5758,11485ec17d922efaec11d7579b4ffe2f51a47a44cbee43f6bb317e24e2ceeda9
46,5337,15,199,7884,6632,1940e309603552454b6033eed68cbab696bc32e05e7a54bfb2a58515dc325f5c
47,1252,3,200,11707,10864,e36590509aa100bc89bba8e52776cddffc1b4d42850726a4e0ae9864464e1e26
48,9829,34,200,10784,8505,95aa74d46f1be17760ed566006422452fb1928d6a65ead7fcdb261e1c82b6065
49,6002,18,199,5436,4202,87a29e1ae44d7dce915a3b5a4dfebcc07183050fc79cf88abb4e54cd9fad1494
50,1534,4,200,13591,11854,6cffccdedda196fb80f902f2ff2adc2fbef2ebaaa9985f27abca2aea68fc5f2a
51,8525,27,199,6845,6749,6a691608c2b95024255503e2d5943b48696a1b6ffe1036ece68787d1b51c8e7a
52,3223,8,200,6796,5395,b7cc8e4bfae16e3acbd53d66f090b68fefa8bc772838bf9c7428298cf526b5b1
53,3403,9,199,7070,7123,525eddc540d71fd8f4cdfc039f7c3abc4b82dbd1529b510c671849bae96f70ba
54,5439,15,199,5395,5975,2affe15f5ae9be577450389386bbeab6baa2801214d360f08ec389b0dcd66163
55,1199,3,200,7197,5527,302bbdd02b92d151aed08d00b0f421fca1df9ebaf0539647f345fdc841695cd9
56,6432,20,200,10284,8696,bf2d43ca2ffcff71535bace2de34ca88657359add5a47cbff868f2e375d771ea
57,4095,11,200,10300,7642,3d45d0f3f120ae02423989ee344692581dac184f96ecc856f57e7cc29dcd3817
58,2444,6,200,6752,4898,9e110a148a1ac6f330b5173476f5d596f1a29cb2db77d40e26d2905daf4408c4
59,7175,22,199,7191,5817,45172ad8e00ab7df4355f0661fbbad8221efe1a5b7190dc78c99a81e49193de2
60,597,1,199,6817,6198,31ea02c2239d818c41879931a95eca10a619c0db3bc8f700de5423c9d333cdfe
61,495,1,200,14336,12014,5bbb01cc72f9911169a14b1850c2a906f71d01df20f2af087b2f05c45c586760
62,7164,22,199,5995,4668,c9e22e788c26a726ff02b7de897b0e2aa2709aabcc2bcec341ff9ed69e47b219
63,522,1,199,10393,8046,a4444547f0ff22b27831bdfd13f2ce75a499320c369353c91215e2de8c8cb0a6
64,9549,33,199,8312,6807,5fd6ac43851bdd52049d083df64e67e04ff766504452f2aa92c8ae78b08e987c
65,8888,29,199,6862,5760,01757114475f23ddf4e216c5e1005907e3820200287af6dfe93e5228e4e28315
66,4983,14,199,11406,8382,225a33064397ac64553c1222c92a911b82d0ab82fe785571917120aa8de14e61
67,4655,13,200,9573,7891,a348ab1d5944242dbd219a1e1ae6e97b97091a51b5c604842562da005dbf5d1a
68,9282,31,200,9919,8217,4b8cfde6367175dd412601ce2c23d851dd3d675a4596da7b991ec48e5d77acfa
69,3657,10,200,7911,6992,e25a0920481566b73bc5bab100ae2711094af3623769c0c5ad99b791dc7f6337
70,5662,16,200,6872,7878,45a0a4212422f40eb89e4a0cf4b2e26db032c218eacd199d5a7fb0c9c55d9ab3
71,3770,10,199,6738,5188,ac6d3f5d9875b5d6aab568e3a71d9ea4122d82336e6ba0f60bb04fb22b73a87b
72,5793,17,200,11390,10442,ce28b29620631f53245860baeef919701d4f12414c75bfb448359337fc3f7631
73,9389,32,198,11699,8577,e118a7048d4c7800da6e552cb1be73dfcded3c1907991b5bec90853a9b41a8c5
74,7504,24,119,6306,5462,78405035dbb22f31b7ec8b3560517d32decbe632ff1c46970ae3518577c91180
75,6419,20,200,11616,11596,a3b6796f6150e94ffa36d0ba4a5b1ecda258cff4f887f9ca571d2fd45a703ed7
76,7267,23,199,7802,6856,906c7111c0a865ab9ab67dde4f5f62bfebdcfe308ca7d3961c71613d8c22e191
77,9033,30,200,8957,7798,c194efbeea4b83782e3f79883d685c044d1c991c40baa1c67d43fff489f59b05
78,5690,17,199,11782,9860,386ea32f7ec9920769f71d6b49c72ece4b14aec3c1f11a318a3378bae4bf5487
79,8836,29,194,7186,6509,e0965c47d394b46f287eede8eaaec0abedebb2adf5117533cd2de7d887195429
80,901,2,198,8250,6539,78f5e29c75d04f12d9a31029aa14cacdc28e89363f9cdadff981e18b720908ca
81,1386,3,199,8466,7925,211a7182ba25fc726a3ab57be15fa4dc23415bf00f922d9d955bf30396a33c63
82,4422,12,126,7263,6132,350b42046e731e41ef9ddb1f57ce37b54c6a816a8ea31811f9c06fcee1ad88f5
83,2091,5,199,7801,6831,4efef161bc8769a866300e30a0d6a1be535b9b75a3a4166b7ada1571599c6511
84,9735,34,200,9001,6436,8e4e2ea9493864db0dfe6f87a0b81d4b30955d7916278cfc8ef27632fafe6125
85,8547,27,200,10114,8673,73f7c3944707af575625f416e7d3ed7267e581a18ac0c5930fc1d6fc6fc35223
86,4050,11,197,8504,6223,22724d0becf048c25c1db7f52241758b6af3b5634a6657bccf9df133091e1d40
87,7941,25,199,9116,9676,20b3c1cfc29ee9fcbced686846ee49391ba867862f543b9ff066ce4e2f578f69
88,3658,10,199,8599,6567,bed46a3cafcb1b96ff1567b14cd2064bed0f6825344fd9836e55c0bce3f6b53f
89,2588,7,199,8005,6519,1485258aa46734e580ae2573bf204712a80bbb0eec1ae06798966ecafb816f1a
90,6260,19,199,8686,8802,90bb5dd3529e994b1f56c07a2f8944ae8ba9c7efc010cb337fee7a24e2593f15
91,6713,21,200,9136,8655,f9b86a785b840abd5a73e5839b93bdd72644fcef0fdd7db2c9b8184e08bd9b29
92,8061,26,199,6831,6691,f9b5624734aa469f748badb048aec9ae748afa8c036fc33a56f446dc44972b3e
93,9184,31,199,9350,9187,d45b01a6d6244ea8b3429962c128ec14d8aa82a0fe48e2536c3a726d4168a0e7
94,2601,7,199,9739,8594,cd8e43b01f81b6aa61adf5ca6108d83fae1ae7345cfe061b3e2554398e0728ba
95,8606,28,199,6717,4941,7c22acacd39fe9a63818bf3186cab355b2fed5b1331bcd792a7a5c2ec6c8194c
96,9078,30,199,7694,7025,ac9755c49a690966040a0ef9e1bf8ced2d8284cac3279b9bd145cd6b24b44978
97,6254,19,200,7565,7799,27692033e931c47ddb1963bf45c2e8706ca25e81dfe9bb86af263289a885c412
98,8575,28,157,8147,5914,a691127847f7732e3f9e871cd77ff404e326907e045921266927b0c480716244
99,6046,18,200,3795,3633,be29eb02804f0d379224d6e54631f7af38ad785a5dfac7eeb1ddeaa553f8bebd
